Hierarchical Optimal Control of MDPs| Abstract Fundamental to reinforcement learning, as well as to the
On recurrent Finsler spaces,|
Multicast scheduling algorithms in mobile networks|
Asynchronous modified policy iteration with single-sided updates|
Approximate Planning for Factored POMDPs using Belief State Simplification|
Reinforcement learning algorithms for average-payoff Markovain decision processes,|
Reinforcement learning with eligibility traces|
Collected Papers,|
To appear)| An upper bound on the loss from approximate optimalvalue functions. 
Learning Control in Dynamic Environments|
An empirical comparison of the KSR and DASH multiprocessors",|
Transfer of learning across sequential tasks|
Learning predictive state representations in dynamical systems without reset|
Asynchronous policy iteration with single-sided updates (Working Paper)|
Broadcasting on [0, L]|
Experimental Results on Learning Stochastic Memoryless Policies for Partially Observable Markov Decision Processes|
Stochastic convergence of iterative DP algorithms|
to appear)| Learning to act using real-time dynamic programming. 
Talk given at the|
Predicting Lifetimes in Dynamically Allocated Memory|
Construct design for efficient, effective and highthroughput gene silencing in plants|
this volume| Learning to act using real-time dynamic programming. 
KKM-maps and fixed point theorems,|
A new floating resistor for CMOS technology,|
Computing approximate bayes-nash equilibria in tree-games of incomplete information|
Analytical Mean Squared Error Curves for Temporal Difference Learning|
On best simultaneous approximation in Banach spaces,|
to appear) Reinforcement learning with replacing eligibility traces|
On best simultaneous Chebyshev approximation with additive weight functions and related results,|
dan| Reinforcement learning algorithm for partially observable markov decision problems. 
Reinforcement learning with relacing eligibility traces|
Symbolic and neural net learning algorithms: An experimental comparison|
